name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
maruti 800 ac,2007,60000,70000,petrol,individual,manual,first
maruti wagon r lxi minor,2007,135000,50000,petrol,individual,manual,first
hyundai verna 1.6 sx,2012,600000,100000,diesel,individual,manual,first
maruti wagon r vxi bs iv,2012,275000,60000,petrol,individual,manual,second
hyundai santro xing gls,2009,150000,79000,petrol,individual,manual,third
maruti alto lxi,2006,100000,80000,petrol,individual,manual,first
maruti alto lxi,2012,160000,60000,petrol,individual,manual,second
maruti wagon r vxi bs iv,2013,300000,80000,petrol,dealer,manual,first
hyundai eon magna plus,2014,240000,73300,petrol,dealer,manual,second
maruti alto lxi,2009,151000,66764,petrol,dealer,manual,second
maruti alto lxi,2009,140000,100000,petrol,individual,manual,first
hyundai eon magna plus,2018,300000,31000,petrol,individual,manual,first
mahindra xuv500 w8 2wd,2015,750000,70000,diesel,individual,manual,first
mahindra bolero power plus slx,2017,628000,120000,diesel,individual,manual,first
renault kwid rxt,2017,315000,16000,petrol,individual,manual,first
renault kwid rxt,2017,350000,25000,petrol,individual,manual,first
maruti swift dzire vdi,2014,434000,79350,diesel,individual,manual,second
maruti ertiga vdi,2014,500000,120000,diesel,individual,manual,second
chevrolet spark 1.0 ls,2012,130000,80000,petrol,individual,manual,first
hyundai eon era plus,2015,200000,70000,petrol,individual,manual,first
hyundai eon era plus,2013,280000,3240,petrol,individual,manual,second
hyundai eon magna plus,2012,170000,60000,petrol,individual,manual,first
renault kwid rxt,2016,225000,25000,petrol,individual,manual,first
chevrolet spark 1.0 ls,2011,99000,100000,petrol,individual,manual,third
chevrolet beat lt,2016,320000,40000,petrol,individual,manual,first
maruti swift vdi bsiv,2015,400000,100000,diesel,individual,manual,third
maruti alto lxi,2012,175000,80000,petrol,individual,manual,third
chevrolet beat lt,2011,120000,90000,petrol,individual,manual,second
maruti 800 ac,2007,95000,100000,petrol,individual,manual,second
maruti alto k10 vxi,2018,380000,22155,petrol,individual,manual,first
